"","x"
"129",123609.90625
"130",23416.1171875
"131",2798.0234375
"132",24771.240234375
"133",9032.8271484375
"134",4630.77685546875
"135",7598.34619140625
"136",11937.2216796875
"137",87235.921875
"138",23329.916015625
"139",40681.9453125
"140",12636.3916015625
"141",22937.384765625
"142",14554.740234375
"143",7197.27880859375
"144",15354.931640625
"145",54028.4765625
"146",26075.275390625
"147",0
"148",19189.90625
"149",1547.91235351562
"150",30569.427734375
"151",27721.697265625
"152",17392.00390625
"153",77239.8046875
"154",35889.81640625
"155",10036.06640625
"156",6384.16162109375
"157",16989.001953125
"158",10333.02734375
"159",14975.349609375
"160",15628.859375
"161",282.528869628906
"162",4217.24658203125
"163",1094.36071777344
"164",38255.28515625
"165",1961.63134765625
"166",23809.65234375
"167",2847.396484375
"168",1497.5048828125
"169",10235.46875
"170",14142.91015625
"171",6675.82470703125
"172",20587.49609375
"173",1202.32775878906
"174",29269.369140625
"175",26410.873046875
"176",27795.716796875
"177",48087.03125
"178",2352.52368164062
"179",89.6305541992188
"180",79218.1953125
"181",30965.560546875
"182",5.06037902832031
"183",16345.2197265625
"184",3581.23266601562
"185",24021.12109375
"186",196.918563842773
"187",11058.2783203125
"188",12067.7763671875
"189",45854.49609375
"190",28782.71875
"191",11984.6572265625
"192",13067.2783203125
"193",1283.64953613281
"194",1402.03283691406
"195",4962.07568359375
"196",35458.92578125
"197",423.98779296875
"198",1241.73657226562
"199",8786.4501953125
"200",2667.22387695312
"201",18119.720703125
"202",41651.1484375
"203",1035.93688964844
"204",3411.7958984375
"205",11246.4638671875
"206",1332.31140136719
"207",37087.6796875
"208",6059.3955078125
"209",3823.90795898438
"210",7418.45361328125
"211",8017.54638671875
"212",30687.419921875
"213",10350.7998046875
"214",18523.046875
"215",87647.21875
"216",41398.44921875
"217",20409.76171875
"218",31872.24609375
"219",30436.9140625
"220",22707.673828125
"221",5157.52734375
"222",21244.7265625
"223",4754.55712890625
"224",43242.5625
"225",76089.8828125
"226",9056.6279296875
"227",69330.421875
"228",21781.404296875
"229",5146.2685546875
"230",20507.056640625
"231",11726.8310546875
"232",15366.2744140625
"233",62170.00390625
"234",33816.19140625
"235",16414.607421875
"236",25601.384765625
"237",10937.625
"238",2217.63232421875
"239",13610.7490234375
"240",30209.4609375
"241",27361.6640625
"242",64881.0859375
"243",43175.97265625
"244",13764.962890625
"245",17698.09375
"246",24399.83203125
"247",17171.9609375
"248",51376.52734375
"249",11088.69921875
"250",3390.91137695312
"251",30297.669921875
"252",31738.7265625
"253",31041.75
"254",16150.2744140625
"255",28468.091796875
"256",20628.48828125
"257",21149.369140625
"258",1805.91333007812
"259",1625.36242675781
"260",25950.2265625
"261",1694.04895019531
"262",5535.49755859375
"263",20810.705078125
"264",3735.91918945312
"265",13004.716796875
"266",31909.8203125
"267",6576.12158203125
"268",38887.62890625
"269",16757.935546875
"270",16518.083984375
"271",23799.099609375
"272",18992.892578125
"273",44254.453125
"274",19903.78125
"275",57891.96875
"276",49658.796875
"277",42439.28515625
"278",1765.7158203125
"279",30665.666015625
"280",13647.158203125
"281",9152.69921875
"282",4750.9130859375
"283",610.278625488281
"284",29169.1953125
"285",6884.7705078125
"286",84.9407653808594
"287",571.147277832031
"288",9379.6845703125
"289",19081.65234375
"290",1792.29028320312
"291",15272.236328125
"292",10486.240234375
"293",21599.58203125
"294",9408.927734375
"295",38173.984375
"296",5582.51806640625
"297",17536.755859375
"298",351.474487304688
"299",50187.15234375
"300",77821.5859375
"301",1073.99877929688
"302",13390.3515625
"303",14989.7998046875
"304",48030.46484375
"305",33394.609375
"306",16028.28515625
"307",18990.89453125
"308",1118.38488769531
"309",22973.529296875
"310",12589.6552734375
"311",12576.001953125
"312",33987.1796875
"313",18540.814453125
"314",28162.212890625
"315",6716.1103515625
"316",32179.03125
"317",18300.64453125
"318",17293.73046875
"319",9546.2392578125
"320",45171.53125
"321",68590.9921875
"322",15113.39453125
"323",8714.232421875
"324",23921.845703125
"325",2145.32446289062
"326",13065.6162109375
"327",4826.341796875
"328",47127.125
"329",38286.94921875
"330",25498.884765625
"331",41390.03515625
"332",59012.80859375
"333",11323.587890625
"334",16057.251953125
"335",556.916564941406
"336",19360.96875
"337",3116.44848632812
"338",16392.3359375
"339",2118.54711914062
"340",12766.7216796875
"341",7165.58837890625
"342",21348.49609375
"343",7787.021484375
"344",66209.078125
"345",85.8460006713867
"346",3192.48413085938
"347",8539.3408203125
"348",22623.466796875
"349",12777.875
"350",8401.4755859375
"351",4913.49853515625
"352",17370.53125
"353",6094.4052734375
"354",59096.19140625
"355",5396.7177734375
"356",129085.28125
"357",2510.02587890625
"358",9072.806640625
"359",36879.1640625
"360",12288.029296875
"361",64568.59765625
"362",153403.59375
"363",10136.1142578125
"364",44033.390625
"365",2056.86108398438
"366",17897.552734375
"367",30109.373046875
"368",4479.6318359375
"369",8208.3701171875
"370",6315.29931640625
"371",4903.8876953125
"372",520.6396484375
"373",12073.20703125
"374",2732.09252929688
"375",6587.63818359375
"376",3305.96826171875
"377",11773.2197265625
"378",27767.2109375
"379",14392.6279296875
"380",5589.9736328125
"381",96788.859375
"382",16492.599609375
"383",8916.2890625
"384",6661.14013671875
"385",28124.1328125
"386",79009.578125
"387",22153.30078125
"388",11228.36328125
"389",21643.181640625
"390",4422.86083984375
"391",65035.5
"392",33961.7890625
"393",7500.265625
"394",7445.4833984375
"395",7212.6494140625
"396",58244.7890625
"397",16997.630859375
"398",112191.3359375
"399",8487.080078125
"400",31628.21875
"401",5049.458984375
"402",877.384643554688
"403",69088.3984375
"404",15564.3525390625
"405",20804.564453125
"406",18966.095703125
"407",5857.0283203125
"408",6346.544921875
"409",28114.9609375
"410",30733.078125
"411",42157.0078125
"412",10404.5849609375
"413",25268.7265625
"414",14428.8134765625
"415",55972.22265625
"416",23360.0234375
"417",7931.9111328125
"418",5092.13916015625
"419",6873.49072265625
"420",64887.8125
"421",6965.8671875
"422",48126.0390625
"423",21224.814453125
"424",7515.564453125
"425",42678.07421875
"426",28444.234375
"427",9998.3662109375
"428",33381.01171875
"429",56577.95703125
"430",70586.9375
"431",62066.9140625
"432",23760.388671875
"433",16981.169921875
"434",94517.0703125
"435",62851.06640625
"436",18663.28515625
"437",2778.67626953125
"438",14658.240234375
"439",1980.48278808594
"440",3467.64111328125
"441",38609.87109375
"442",47730.55859375
"443",31340.951171875
"444",897.129760742188
"445",11312.119140625
"446",28989.220703125
"447",11841.052734375
"448",50548.890625
"449",31726.56640625
"450",49127.6015625
"451",18289.779296875
"452",12236.6162109375
"453",118874.5703125
"454",70418.7265625
"455",48177.2265625
"456",40431.7265625
"457",6110.58447265625
"458",17789.33203125
"459",61504.08984375
"460",15079.1513671875
"461",13496.154296875
"462",8946.5302734375
"463",17992.970703125
"464",11076.650390625
"465",108939.34375
"466",22733.328125
"467",63419.93359375
"468",79027.0625
"469",48856.9453125
"470",21005.59375
"471",28491.705078125
"472",21081.205078125
"473",19349.134765625
"474",11278.0224609375
"475",15811.767578125
"476",22010.681640625
"477",16115.12109375
"478",53455.87890625
"479",10793.1953125
