"ID","tt_above60","tt_below60","tt_below30","tt_30_60","tt_60_110","tt_above110","total"
"RVSNDN06",0,2216.08349609375,2210.39306640625,5.69041109085083,0,0,2216.08349609375
"RVSABM17",198.29963684082,0,0,0,0,198.29963684082,198.29963684082
"RVSABM01",1127.58508300781,0,0,0,0,1127.58508300781,1127.58508300781
"CRSANA12",478.728851318359,1817.71496582031,1223.25756835938,594.457397460938,0,478.728851318359,2296.44381713867
"BYSSPR09",5453.90625,1573.84802246094,0,1573.84802246094,2452.11865234375,3001.78759765625,7027.75427246094
"BYSSPR07",11430.322265625,4080.52368164062,505.456756591797,3575.06713867188,2098.29931640625,9332.0234375,15510.8459472656
"CRSKTA02",795.9716796875,3958.3359375,3906.02490234375,52.3110694885254,0,795.9716796875,4754.3076171875
"CRSBKS10",807.342346191406,0,0,0,0,807.342346191406,807.342346191406
"BYSBRS10",6012.8720703125,0,0,0,7.12090492248535,6005.75146484375,6012.8720703125
"BYSBRS03",0,445.720703125,439.6357421875,6.08496141433716,0,0,445.720703125
"BYSKMR01",7412.0205078125,421.345825195312,0,421.345825195312,4791.70556640625,2620.31494140625,7833.36633300781
"RVSBNY09",699.19482421875,751.555053710938,590.318298339844,161.236724853516,652.552368164062,46.6424293518066,1450.74987792969
"RVSDEG03",1048.11120605469,0,0,0,0,1048.11120605469,1048.11120605469
"RVSDEG01",287.7919921875,0,0,0,0,287.7919921875,287.7919921875
"RVSDEG04",151.48942565918,0,0,0,0,151.48942565918,151.48942565918
"RVSDEG13",1644.19287109375,0,0,0,0,1644.19287109375,1644.19287109375
"RVSNDN07",929.500671386719,2387.30053710938,1389.38952636719,997.910949707031,919.49755859375,10.003134727478,3316.80120849609
"RVSDEG06",465.348022460938,0,0,0,0,465.348022460938,465.348022460938
"AKSRNN04",630.194458007812,3639.60229492188,2985.60327148438,653.9990234375,630.194458007812,0,4269.79675292969
"AKSRNN06",1.38845145702362,26895.498046875,25670.888671875,1224.60961914062,0,1.38845145702362,26896.886498332
"AKSRNN05",0,6139.4423828125,5923.6796875,215.762451171875,0,0,6139.4423828125
"AKSKRT06",10.3989572525024,870.906433105469,109.653160095215,761.253295898438,10.3989572525024,0,881.305390357971
"DTSBUR08",3897.47094726562,1839.09606933594,25.4666633605957,1813.62939453125,3205.61206054688,691.858947753906,5736.56701660156
"AKSBYF01",203.250274658203,2384.71264648438,2029.38366699219,355.328948974609,167.393203735352,35.8570671081543,2587.96292114258
"AKSENW06",2262.29516601562,870.13427734375,25.4776840209961,844.656616210938,2261.81298828125,0.482063502073288,3132.42944335938
"AKSKRT09",0,875.669982910156,280.340209960938,595.329772949219,0,0,875.669982910156
"AKSKRT08",0,4869.63916015625,4815.96728515625,53.6716651916504,0,0,4869.63916015625
"AKSKRT04",947.745849609375,310.937316894531,223.871383666992,87.0659332275391,947.745849609375,0,1258.68316650391
"AKSPNG09",434.191497802734,533.16748046875,0,533.16748046875,184.591613769531,249.599884033203,967.358978271484
"AKSPNG10",3413.36254882812,748.252380371094,316.901641845703,431.350708007812,217.701477050781,3195.6611328125,4161.61492919922
"AKSBYF04",96.3163757324219,2964.95068359375,2929.97729492188,34.9735488891602,94.9630508422852,1.3533216714859,3061.26705932617
"AKSKRT05",2151.92700195312,510.694946289062,510.694946289062,0,2151.92700195312,0,2662.62194824219
"RVSNDN10",362.592224121094,7325.419921875,5734.64794921875,1590.77185058594,323.784729003906,38.8074798583984,7688.01214599609
"CRSANA09",0,14974.8046875,14974.8046875,0,0,0,14974.8046875
"CRSANA08",0,18577.796875,18577.796875,0,0,0,18577.796875
"CRSANA05",0,18407.3828125,18407.3828125,0,0,0,18407.3828125
"CRSANA04",0,18986.853515625,18986.853515625,0,0,0,18986.853515625
"CRSANA02",0,9387.5625,9386.1259765625,1.4363204240799,0,0,9387.5625
"BNSMKD04",0,32518.595703125,32518.595703125,0,0,0,32518.595703125
"ANSAWK11",0,16542.6328125,12482.78515625,4059.84643554688,0,0,16542.6328125
"OSSOSO13",0,12676.7021484375,12676.7021484375,0,0,0,12676.7021484375
"ANSJJT11",0,49479.64453125,49479.64453125,0,0,0,49479.64453125
"OSSOSO12",0,10745.9921875,10745.9921875,0,0,0,10745.9921875
"ANSNSH08",0,74396.5625,68869.796875,5526.7646484375,0,0,74396.5625
"OYSOLE07",0,318.295379638672,318.295379638672,0,0,0,318.295379638672
"CRSCAL07",0,26123.91015625,26123.91015625,0,0,0,26123.91015625
"OYSISW10",0,1924.85034179688,518.44580078125,1406.40454101562,0,0,1924.85034179688
"OYSISW01",0,6313.5419921875,6313.5419921875,0,0,0,6313.5419921875
"CRSCAL02",0,13669.9169921875,13669.9169921875,0,0,0,13669.9169921875
"OSSOSO01",0,27025.75,27025.75,0,0,0,27025.75
"ANSNSH14",0,10743.330078125,10743.330078125,0,0,0,10743.330078125
"NISBDA09",0,13128.3310546875,13128.3310546875,0,0,0,13128.3310546875
"NASKEF01",0,29240.17578125,29240.17578125,0,0,0,29240.17578125
"OGSABS11",0,7308.2451171875,7308.2451171875,0,0,0,7308.2451171875
"ANSFGG06",0,384.795959472656,384.795959472656,0,0,0,384.795959472656
"OGSABS06",0,15496.7998046875,15135.4091796875,361.391326904297,0,0,15496.7998046875
"OGSABS10",0,58840.59765625,52194.51171875,6646.08447265625,0,0,58840.59765625
"OGSABS14",0,10773.1533203125,10773.1533203125,0,0,0,10773.1533203125
"ABSGWB13",0,4793.01904296875,4793.01904296875,0,0,0,4793.01904296875
