"wardcode","conflict_index"
"81410",7
"81411",8
"ABSABA02",7
"ABSABA07",5
"ABSACH05",6
"ABSACH13",7
"ABSACH14",3
"ABSAPR05",3
"ABSAPR11",4
"ABSEZA04",1
"ABSGWB07",3
"ABSHAF10",7
"ABSHAF11",5
"ABSHAF14",3
"ABSHAF16",7
"ABSKKE26",7
"ABSKPU13",1
"ABSKWU19",8
"ABSMBA17",1
"ABSMBL06",6
"ABSMBL15",4
"ABSNGK13",5
"ABSSSM17",3
"ABSUMA10",1
"ABSUMA14",4
"ABSUMA15",6
"ABSUNC03",4
"ABSUNC04",3
"ABSUNC09",4
"ABSUNC10",6
"ADSDSA01",5
"ADSDSA08",5
"ADSFUR01",3
"ADSFUR03",4
"ADSFUR04",5
"ADSFUR05",5
"ADSFUR07",1
"ADSGAN02",3
"ADSGAN04",5
"ADSGAN08",1
"ADSGMB05",5
"ADSGMB07",4
"ADSGRE02",1
"ADSGRE05",5
"ADSGRE08",3
"ADSGYL03",5
"ADSHNG03",8
"ADSHNG06",1
"ADSHNG11",5
"ADSLMR03",5
"ADSLMR04",4
"ADSMAH03",3
"ADSMAH04",8
"ADSMCH04",2
"ADSMCH06",3
"ADSMDG03",2
"ADSMDG04",8
"ADSMDG06",7
"ADSMDG10",8
"ADSMUB11",4
"ADSMWA08",1
"ADSNUM03",7
"ADSNUM05",5
"ADSSNG06",4
"ADSSNG07",4
"ADSTNG09",6
"ADSYLA03",3
"ADSYLA08",3
"ADSYLA09",1
"ADSYLA10",6
"ADSYLN06",2
"ADSYLN07",6
"AKSABK07",5
"AKSABK09",2
"AKSABK11",2
"AKSABT04",3
"AKSAEE03",6
"AKSAEE04",6
"AKSAEE08",5
"AKSAEE10",6
"AKSAFH08",1
"AKSAFH09",4
"AKSAUQ04",7
"AKSBMT02",4
"AKSBYF02",7
"AKSBYF03",4
"AKSDRK08",4
"AKSDRK10",7
"AKSDUU09",6
"AKSDYY07",6
"AKSENW04",8
"AKSENW08",4
"AKSENW09",5
"AKSKET05",6
"AKSKET11",3
"AKSKPD10",4
"AKSKPK01",5
"AKSKPK08",5
"AKSKPK10",5
"AKSKRT01",7
"AKSKTE10",3
"AKSKTM08",6
"AKSKTS02",3
"AKSKTS07",3
"AKSMKP05",6
"AKSMKP06",4
"AKSMKP10",5
"AKSNGD03",5
"AKSNYA05",3
"AKSPNG01",6
"AKSRNN02",8
"AKSTTU03",8
"ANSAAH01",5
"ANSAAH05",6
"ANSAAH12",8
"ANSAAH14",6
"ANSABN06",7
"ANSABN07",2
"ANSABN10",6
"ANSABN14",6
"ANSACA02",8
"ANSACA04",5
"ANSACA06",4
"ANSACA07",8
"ANSACA09",7
"ANSACA10",3
"ANSACA14",5
"ANSAGU04",2
"ANSAGU06",6
"ANSAGU07",6
"ANSAGU11",6
"ANSAGU14",1
"ANSAGU16",5
"ANSAGU18",2
"ANSAGU20",8
"ANSAJL06",6
"ANSAJL08",4
"ANSAJL11",7
"ANSAJL20",6
"ANSATN03",8
"ANSATN05",3
"ANSATN07",8
"ANSATN09",3
"ANSAWK02",7
"ANSAWK04",7
"ANSAWK10",6
"ANSAWK16",1
"ANSAWK19",6
"ANSFGG09",6
"ANSFGG11",6
"ANSGDD03",5
"ANSGDD06",6
"ANSGDD08",6
"ANSGDD11",4
"ANSHAL01",7
"ANSHAL04",5
"ANSHAL09",5
"ANSHAL11",6
"ANSHAL13",6
"ANSHAL16",5
"ANSHAL17",7
"ANSHTE04",6
"ANSHTE05",5
"ANSHTE06",4
"ANSHTE08",6
"ANSHTE14",4
"ANSJJT02",5
"ANSJJT05",7
"ANSJJT10",6
"ANSJJT12",4
"ANSKPP01",5
"ANSKPP02",1
"ANSKPP09",5
"ANSNEN02",7
"ANSNEN03",4
"ANSNEN07",7
"ANSNEN11",4
"ANSNEN12",4
"ANSNKK01",7
"ANSNKK11",7
"ANSNNE02",6
"ANSUKP01",7
"ANSUKP02",5
"ANSUKP11",5
"ANSUKP15",6
"ANSUKP18",2
"ANSUKP20",4
"ANSUMZ07",8
"ANSUMZ14",6
"ANSUMZ15",7
"ANSZBL09",7
"ANSZBL10",4
"ANSZBL11",6
"BA0101",7
"BA0106",4
"BA0111",5
"BA0115",4
"BA0116",5
"BA0119",7
"BA0206",5
"BA0211",3
"BA0215",7
"BA0309",3
"BA0312",2
"BA0410",1
"BA0506",1
"BA0603",2
"BA0704",2
"BA0801",1
"BA1102",5
"BA1201",3
"BA1306",3
"BA1408",3
"BA1415",3
"BA1505",3
"BA1506",1
"BA1508",7
"BA1511",1
"BA1513",1
"BA1516",7
"BA1702",3
"BA1713",3
"BA1716",6
"BA1801",5
"BA1802",3
"BA1804",2
"BA1807",3
"BA1809",3
"BA1810",3
"BA1814",5
"BA2014",2
"BNSALD07",5
"BNSALD08",1
"BNSBGT01",5
"BNSBGT02",6
"BNSBGT08",3
"BNSBGT09",2
"BNSBKB07",3
"BNSBRT04",5
"BNSDKP03",3
"BNSDKP09",2
"BNSGBG02",5
"BNSGBG03",7
"BNSGBG05",7
"BNSGBG06",5
"BNSGBG08",6
"BNSGBK03",5
"BNSGBK17",1
"BNSGKP02",7
"BNSGKP03",8
"BNSGKP05",7
"BNSGKP09",5
"BNSGKP10",7
"BNSGKP11",7
"BNSGMU01",7
"BNSGMU02",6
"BNSGMU09",7
"BNSGMU10",6
"BNSGTU01",8
"BNSGTU03",8
"BNSGTU04",8
"BNSGTU05",6
"BNSGTU06",6
"BNSGTU08",7
